Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,SE_PRM_2019,SE_SEC_2019,SE_TER_2019,FPCPI_2019
47,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,87.50295258,88.07028198,51.3538208,3.827854326
48,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,100.4776993,100.8504333,88.48532867,0.250370997
49,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,101.1975479,100.5680771,47.94522858,0.266012515
50,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,88.00608826,0,55.30754852,1.091848027
51,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,101.0526733,115.1526566,0,0.706728601
52,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,99.98343658,107.6024628,94.86453247,2.811409201
53,"Korea, Rep.",5.895,1.301,1.219,1.036,0.159,0.175,0.056,100.9894485,95.86534882,98.44618988,0.383000304
54,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,97.92819214,115.6051178,74.231987,2.277259312
55,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,0,0,0,3.905100009
56,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,99.52056122,97.12110138,44.39152908,0.40565519
57,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,0,0,0,0.468776159
58,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,0,0,25.45789909,4.365871598
59,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,104.3713303,113.2275314,61.74975967,5.245476796
60,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,98.52799225,89.98246002,0,1.83954505
61,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,95.49093628,80.32145691,52.44464874,3.338586354
62,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,0,0,0,2.757097276
63,Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,100.4776993,100.8504333,88.48532867,0.250370997
64,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,113.4772263,108.8338013,0,2.252121914
65,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,107.3928833,120.6212082,67.93070221,0.33817841
66,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,95.48413849,44.8681488,12.22064018,10.5783618
67,Russian Federation,5.648,1.183,1.452,0.726,0.334,0.082,0.031,104.1736298,103.6027603,86.40014648,4.470366608
68,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,99.14772034,89.76526642,31.62248993,2.392065344
69,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,99.64470673,94.47219086,67.7898407,1.849229845
70,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,104.8319168,109.0824127,56.27151108,4.837783514
71,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,0,0,0,0
72,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,100.6333771,90.08804321,54.17481995,0.361563705
73,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,100.8574371,0,0,0
74,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,93.22310638,100.1194305,67.72174835,0.771820346
75,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,112.2282104,81.59329224,61.16123199,1.81060377
76,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,0,0,40.19034958,0.562782154
77,Turkiye,5.373,1.183,1.36,0.808,0.195,0.083,0.106,97.05747223,104.1150818,115.0420609,15.17682157
78,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,104.3825226,83.74816132,43.06161118,0.662891866
79,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,98.44673157,102.0773087,87.7572403,5.59815595
80,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,99.96620178,108.0768585,148.5308838,0.253007522
81,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,103.416008,91.50335693,68.75351715,7.304815975
82,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,98.17537689,79.990448,43.11650085,0.766439573
83,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,87.45423126,43.51113892,12.10081959,11.39679497
84,Kyrgyz Republic,5.261,0.551,1.438,0.723,0.508,0.3,0.023,106.0478134,96.36685181,42.32133865,1.133622577
85,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,117.9140472,89.67060852,14.22867012,0
86,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,108.8458481,0,52.61994171,1.951768211
87,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,114.764679,81.18557739,38.54533005,0.303386037
88,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,97.93534851,94.77548981,31.54019928,2.610571828
89,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,0,0,0,3.005389494
90,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,106.41082,88.91017151,36.31103897,3.03058665
91,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,101.9257202,0,53.76491165,2.899234164
92,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,115.435173,0,28.63998032,2.795823675
93,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,100.139679,90.09468079,15.56830025,2.725821043
94,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,105.7478409,0,14.26727009,2.452802141
95,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,85.94416046,92.39259338,73.37917328,3.103729448
96,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,104.8414078,74.67948914,17.23296928,7.143640033
97,Cote d'Ivoire,4.944,0.569,0.808,0.232,0.352,0.154,0.09,100.3153381,54.61299133,9.952599525,-1.10686344
98,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,142.1434631,80.17991638,13.32682991,5.568685478
99,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,81.79920959,65.19397736,33.06087112,0.761514047
100,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,116.7085876,47.50183105,11.14138031,-0.705026635
101,"Congo, Rep.",4.812,0.673,0.799,0.508,0.372,0.105,0.093,93.69561005,0,0,2.206073058
102,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,0,0,21.06587029,2.464567562
103,Lao PDR,4.796,0.764,1.03,0.551,0.547,0.266,0.164,100.0459595,65.76873016,14.45331001,3.322558813
104,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,98.37447357,102.5566635,23.86655998,4.12024587
105,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,104.8127365,95.08659363,59.7784996,1.41109079
106,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,106.4747391,54.83041,14.73896027,1.942575008
107,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,82.07385254,46.23905182,13.1359396,1.758565176
108,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,0,0,0,0
109,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,124.2483902,0,24.10160065,3.722394144
110,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,66.4154129,0,4.228240013,-2.489792651
111,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,94.5357132,41.31110001,7.096129894,-3.23338934
112,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,91.84506226,86.47232819,51.48752975,1.443446608
113,"Iran, Islamic Rep.",4.548,1.1,0.842,0.785,0.305,0.27,0.125,110.2767563,89.37502289,60.39419174,39.90734557
114,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,100.7853699,0,7.018630028,9.470779373
115,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,99.29888153,106.2963486,63.91550064,4.852898217
116,"Gambia, The",4.516,0.308,0.939,0.428,0.382,0.269,0.167,101.6599731,0,0,7.115676256
117,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,0,0,10.0383997,5.235859994
118,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,100.4086304,39.40896988,5.763249874,2.300092621
119,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,116.3811417,0,7.312550068,2.781106312
120,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,115.4459686,0,31.84726906,6.720075329
121,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,116.4663391,72.55812836,24.01688957,5.591996399
122,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,0,0,0,-0.19896538
123,"Congo, Dem. Rep.",4.418,0.094,1.125,0.357,0.269,0.212,0.053,118.45961,0,0,0
124,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,75.6006012,41.0272789,0,-1.658266948
125,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,143.725174,0,0,14.80305857
126,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,100.2300568,100.3352203,21.12770081,3.528393582
127,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,112.3066711,68.43682098,18.81594086,8.825066968
128,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,89.19113922,20.55504036,0,-0.971939175
129,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,0,0,0,7.886717456
130,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,119.402977,0,10.42656994,15.80963217
131,Eswatini,4.212,0.811,1.149,0,0.313,0.074,0.135,114.4562912,0,0,2.598016203
132,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,102.7047119,0,0,2.86909425
133,"Egypt, Arab Rep.",4.166,0.913,1.039,0.644,0.241,0.076,0.067,106.4095612,89.48068237,38.90494919,9.152799593
134,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,98.71552277,0,0,9.150316443
135,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,124.3186111,0,13.67588043,0.685897591
136,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,96.82868195,73.79296875,28.57290077,3.729505735
137,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,85.10919189,0,0,23.5635149
138,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,99.50662994,59.46886063,0,0
139,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,134.0614624,34.59550095,5.350490093,5.610514415
140,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,120.8974991,0,10.19626045,5.187083592
141,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,118.9602432,45.09125137,3.923569918,-0.686772171
142,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,97.14021301,0,0,255.3049908
143,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,0,0,0,18.70378257
144,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,0,0,25.08139038,2.772864429
145,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,144.8109894,37.08491135,1.72362566,9.370836056
146,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,131.3118744,44.31903839,6.235390186,3.34787655
147,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,96.27446747,30.83176994,3.092499971,3.46428058
148,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,106.7010803,55.42520905,9.686420441,2.302372515
149,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,0,0,0,2.685373553
150,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,0,0,0.749819994,87.24136415
